[10:38:15 PM] Thursday, February 27, 2020
[10:38:15 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[10:38:15 PM] Process Kill Interval: 250ms
[10:38:15 PM] Loading Complete!
[10:38:15 PM] ctfmon.exe killed!
[10:38:15 PM] ctfmon.exe killed!
[10:38:17 PM] Log Hidden!
[10:38:18 PM] Log Revealed!
[10:38:19 PM] Log Hidden!
[10:38:20 PM] Log Revealed!
[10:38:20 PM] ctfmon.exe killed!
[10:38:22 PM] Log Hidden!
[10:38:23 PM] Log Revealed!
[10:38:25 PM] ctfmon.exe killed!
[10:38:26 PM] Closing! Saving log...
