[7:22:37 AM] Sunday, January 5, 2020
[7:22:37 AM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[7:22:37 AM] Process Kill Interval: 250ms
[7:22:37 AM] Loading Complete!
[7:22:37 AM] sppsvc.exe killed!
[7:22:37 AM] SearchIndexer.exe killed!
[7:22:37 AM] WmiPrvSE.exe killed!
[7:22:37 AM] SearchFilterHost.exe killed!
[7:22:37 AM] ctfmon.exe killed!
[7:22:37 AM] ctfmon.exe killed!
[7:22:38 AM] WmiPrvSE.exe killed!
[7:22:39 AM] WmiPrvSE.exe killed!
[7:22:42 AM] WmiPrvSE.exe killed!
[7:22:42 AM] WmiPrvSE.exe killed!
[7:22:42 AM] ctfmon.exe killed!
[7:22:46 AM] WmiPrvSE.exe killed!
[7:22:46 AM] WmiPrvSE.exe killed!
[7:22:47 AM] ctfmon.exe killed!
[7:22:50 AM] WmiPrvSE.exe killed!
[7:22:52 AM] ctfmon.exe killed!
[7:22:54 AM] SearchIndexer.exe killed!
[7:22:54 AM] WmiPrvSE.exe killed!
[7:22:55 AM] WmiPrvSE.exe killed!
[7:22:55 AM] WmiPrvSE.exe killed!
[7:22:56 AM] WmiPrvSE.exe killed!
[7:22:57 AM] ctfmon.exe killed!
[7:22:58 AM] WmiPrvSE.exe killed!
[7:23:02 AM] ctfmon.exe killed!
[7:23:07 AM] ctfmon.exe killed!
[7:23:12 AM] ctfmon.exe killed!
[7:23:17 AM] ctfmon.exe killed!
[7:23:22 AM] ctfmon.exe killed!
[7:23:27 AM] ctfmon.exe killed!
[7:23:28 AM] WmiPrvSE.exe killed!
[7:23:28 AM] WmiPrvSE.exe killed!
[7:23:31 AM] WmiPrvSE.exe killed!
[7:23:32 AM] ctfmon.exe killed!
[7:23:37 AM] ctfmon.exe killed!
[7:23:42 AM] ctfmon.exe killed!
[7:23:47 AM] ctfmon.exe killed!
[7:23:52 AM] ctfmon.exe killed!
[7:23:57 AM] ctfmon.exe killed!
[7:24:02 AM] WmiPrvSE.exe killed!
[7:24:02 AM] WmiPrvSE.exe killed!
[7:24:02 AM] ctfmon.exe killed!
[7:24:06 AM] WmiPrvSE.exe killed!
[7:24:07 AM] ctfmon.exe killed!
[7:24:13 AM] ctfmon.exe killed!
[7:24:18 AM] ctfmon.exe killed!
[7:24:23 AM] ctfmon.exe killed!
[7:24:28 AM] ctfmon.exe killed!
[7:24:33 AM] ctfmon.exe killed!
[7:24:36 AM] WmiPrvSE.exe killed!
[7:24:38 AM] ctfmon.exe killed!
[7:24:40 AM] WmiPrvSE.exe killed!
[7:24:43 AM] ctfmon.exe killed!
[7:24:44 AM] WmiPrvSE.exe killed!
[7:24:48 AM] ctfmon.exe killed!
[7:24:48 AM] WmiPrvSE.exe killed!
[7:24:52 AM] WmiPrvSE.exe killed!
[7:24:53 AM] ctfmon.exe killed!
[7:24:56 AM] WmiPrvSE.exe killed!
[7:24:58 AM] ctfmon.exe killed!
[7:25:00 AM] WmiPrvSE.exe killed!
[7:25:01 AM] WmiPrvSE.exe killed!
[7:25:01 AM] sppsvc.exe killed!
[7:25:03 AM] ctfmon.exe killed!
[7:25:04 AM] WmiPrvSE.exe killed!
[7:25:08 AM] ctfmon.exe killed!
[7:25:08 AM] WmiPrvSE.exe killed!
[7:25:12 AM] WmiPrvSE.exe killed!
[7:25:13 AM] ctfmon.exe killed!
[7:25:16 AM] WmiPrvSE.exe killed!
[7:25:18 AM] ctfmon.exe killed!
[7:25:20 AM] WmiPrvSE.exe killed!
[7:25:23 AM] ctfmon.exe killed!
[7:25:24 AM] WmiPrvSE.exe killed!
[7:25:28 AM] ctfmon.exe killed!
[7:25:28 AM] WmiPrvSE.exe killed!
[7:25:32 AM] WmiPrvSE.exe killed!
[7:25:33 AM] ctfmon.exe killed!
[7:25:36 AM] WmiPrvSE.exe killed!
[7:25:38 AM] ctfmon.exe killed!
[7:25:40 AM] WmiPrvSE.exe killed!
[7:25:43 AM] ctfmon.exe killed!
[7:25:44 AM] WmiPrvSE.exe killed!
[7:25:48 AM] ctfmon.exe killed!
[7:25:48 AM] WmiPrvSE.exe killed!
[7:25:52 AM] WmiPrvSE.exe killed!
[7:25:53 AM] ctfmon.exe killed!
[7:25:56 AM] WmiPrvSE.exe killed!
[7:25:58 AM] ctfmon.exe killed!
[7:26:00 AM] WmiPrvSE.exe killed!
[7:26:01 AM] sppsvc.exe killed!
[7:26:01 AM] WmiPrvSE.exe killed!
[7:26:03 AM] ctfmon.exe killed!
[7:26:04 AM] WmiPrvSE.exe killed!
[7:26:05 AM] WmiPrvSE.exe killed!
[7:26:05 AM] WmiPrvSE.exe killed!
[7:26:06 AM] WmiPrvSE.exe killed!
[7:26:06 AM] WmiPrvSE.exe killed!
[7:26:06 AM] WmiPrvSE.exe killed!
