[3:04:05 AM] Thursday, September 3, 2020
[3:04:05 AM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[3:04:05 AM] Process Kill Interval: 250ms
[3:04:05 AM] Loading Complete!
[3:04:05 AM] ctfmon.exe killed!
[3:04:05 AM] WmiPrvSE.exe killed!
[3:04:05 AM] YourPhone.exe killed!
[3:04:05 AM] Microsoft.Photos.exe killed!
[3:04:05 AM] SearchIndexer.exe killed!
[3:04:05 AM] SystemSettings.exe killed!
[3:04:05 AM] SearchUI.exe killed!
[3:04:05 AM] WmiPrvSE.exe killed!
[3:04:05 AM] ctfmon.exe killed!
[3:04:07 AM] WmiPrvSE.exe killed!
[3:04:07 AM] SearchUI.exe killed!
[3:04:08 AM] SettingSyncHost.exe killed!
[3:04:09 AM] ZeroConfigService.exe killed!
[3:04:10 AM] ctfmon.exe killed!
[3:04:11 AM] SearchUI.exe killed!
[3:04:13 AM] SearchUI.exe killed!
[3:04:15 AM] ctfmon.exe killed!
[3:04:16 AM] SearchUI.exe killed!
[3:04:20 AM] ctfmon.exe killed!
[3:04:25 AM] ctfmon.exe killed!
[3:04:30 AM] ctfmon.exe killed!
[3:04:35 AM] SearchIndexer.exe killed!
[3:04:35 AM] ctfmon.exe killed!
[3:04:37 AM] WmiPrvSE.exe killed!
[3:04:40 AM] WmiPrvSE.exe killed!
[3:04:40 AM] ctfmon.exe killed!
[3:04:45 AM] ctfmon.exe killed!
[3:04:50 AM] ctfmon.exe killed!
[3:04:55 AM] ctfmon.exe killed!
[3:04:58 AM] sppsvc.exe killed!
[3:04:58 AM] WmiPrvSE.exe killed!
[3:04:58 AM] WmiPrvSE.exe killed!
[3:04:59 AM] sppsvc.exe killed!
[3:05:00 AM] ctfmon.exe killed!
[3:05:01 AM] WmiPrvSE.exe killed!
[3:05:01 AM] WmiPrvSE.exe killed!
[3:05:04 AM] WmiPrvSE.exe killed!
[3:05:04 AM] sppsvc.exe killed!
[3:05:05 AM] ctfmon.exe killed!
[3:05:05 AM] WmiPrvSE.exe killed!
[3:05:05 AM] SearchIndexer.exe killed!
[3:05:08 AM] WmiPrvSE.exe killed!
[3:05:08 AM] sppsvc.exe killed!
[3:05:10 AM] ctfmon.exe killed!
[3:05:15 AM] ctfmon.exe killed!
[3:05:20 AM] ctfmon.exe killed!
[3:05:25 AM] ctfmon.exe killed!
[3:05:28 AM] Closing! Saving log...
