[3:30:42 AM] Thursday, September 3, 2020
[3:30:42 AM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[3:30:42 AM] Process Kill Interval: 250ms
[3:30:42 AM] Loading Complete!
[3:30:43 AM] WmiPrvSE.exe killed!
[3:30:43 AM] WmiPrvSE.exe killed!
[3:30:43 AM] SearchIndexer.exe killed!
[3:30:43 AM] ctfmon.exe killed!
[3:30:43 AM] ctfmon.exe killed!
[3:30:44 AM] WmiPrvSE.exe killed!
[3:30:47 AM] WmiPrvSE.exe killed!
[3:30:48 AM] ctfmon.exe killed!
[3:30:53 AM] ctfmon.exe killed!
[3:30:55 AM] Closing! Saving log...
