[12:35:55 AM] WmiPrvSE.exe killed!
[12:35:56 AM] WmiPrvSE.exe killed!
[12:35:56 AM] ctfmon.exe killed!
[12:35:57 AM] WmiPrvSE.exe killed!
[12:35:57 AM] WmiPrvSE.exe killed!
[12:35:57 AM] WmiPrvSE.exe killed!
[12:35:57 AM] WmiPrvSE.exe killed!
[12:35:58 AM] WmiPrvSE.exe killed!
[12:35:59 AM] WmiPrvSE.exe killed!
[12:35:59 AM] WmiPrvSE.exe killed!
[12:36:00 AM] WmiPrvSE.exe killed!
[12:36:00 AM] WmiPrvSE.exe killed!
[12:36:00 AM] sppsvc.exe killed!
[12:36:00 AM] WmiPrvSE.exe killed!
[12:36:01 AM] WmiPrvSE.exe killed!
[12:36:01 AM] ctfmon.exe killed!
[12:36:01 AM] WmiPrvSE.exe killed!
[12:36:02 AM] WmiPrvSE.exe killed!
[12:36:02 AM] WmiPrvSE.exe killed!
[12:36:06 AM] ctfmon.exe killed!
[12:36:11 AM] ctfmon.exe killed!
[12:36:16 AM] ctfmon.exe killed!
[12:36:21 AM] ctfmon.exe killed!
[12:36:26 AM] ctfmon.exe killed!
[12:36:31 AM] ctfmon.exe killed!
[12:36:32 AM] WmiPrvSE.exe killed!
[12:36:33 AM] WmiPrvSE.exe killed!
[12:36:33 AM] WmiPrvSE.exe killed!
[12:36:33 AM] WmiPrvSE.exe killed!
[12:36:36 AM] ctfmon.exe killed!
[12:36:41 AM] ctfmon.exe killed!
[12:36:46 AM] ctfmon.exe killed!
[12:36:51 AM] ctfmon.exe killed!
[12:36:56 AM] ctfmon.exe killed!
[12:37:01 AM] ctfmon.exe killed!
[12:37:04 AM] WmiPrvSE.exe killed!
[12:37:04 AM] WmiPrvSE.exe killed!
[12:37:05 AM] WmiPrvSE.exe killed!
[12:37:05 AM] WmiPrvSE.exe killed!
[12:37:06 AM] WmiPrvSE.exe killed!
[12:37:06 AM] ctfmon.exe killed!
[12:37:06 AM] WmiPrvSE.exe killed!
[12:37:07 AM] WmiPrvSE.exe killed!
[12:37:07 AM] WmiPrvSE.exe killed!
[12:37:08 AM] WmiPrvSE.exe killed!
[12:37:09 AM] WmiPrvSE.exe killed!
[12:37:11 AM] ctfmon.exe killed!
[12:37:16 AM] ctfmon.exe killed!
[12:37:21 AM] ctfmon.exe killed!
[12:37:26 AM] ctfmon.exe killed!
[12:37:31 AM] ctfmon.exe killed!
[12:37:36 AM] ctfmon.exe killed!
[12:37:39 AM] WmiPrvSE.exe killed!
[12:37:40 AM] WmiPrvSE.exe killed!
[12:37:40 AM] WmiPrvSE.exe killed!
[12:37:41 AM] WmiPrvSE.exe killed!
[12:37:41 AM] ctfmon.exe killed!
[12:37:41 AM] WmiPrvSE.exe killed!
[12:37:46 AM] ctfmon.exe killed!
[12:37:51 AM] ctfmon.exe killed!
[12:37:56 AM] ctfmon.exe killed!
[12:38:01 AM] ctfmon.exe killed!
[12:38:06 AM] ctfmon.exe killed!
[12:38:11 AM] ctfmon.exe killed!
[12:38:12 AM] WmiPrvSE.exe killed!
[12:38:12 AM] WmiPrvSE.exe killed!
[12:38:13 AM] WmiPrvSE.exe killed!
[12:38:16 AM] ctfmon.exe killed!
[12:38:21 AM] ctfmon.exe killed!
[12:38:26 AM] ctfmon.exe killed!
[12:38:27 AM] sppsvc.exe killed!
[12:38:31 AM] ctfmon.exe killed!
[12:38:36 AM] ctfmon.exe killed!
[12:38:41 AM] ctfmon.exe killed!
[12:38:43 AM] WmiPrvSE.exe killed!
[12:38:44 AM] WmiPrvSE.exe killed!
[12:38:45 AM] WmiPrvSE.exe killed!
[12:38:46 AM] WmiPrvSE.exe killed!
[12:38:46 AM] WmiPrvSE.exe killed!
[12:38:46 AM] WmiPrvSE.exe killed!
[12:38:46 AM] ctfmon.exe killed!
[12:38:47 AM] WmiPrvSE.exe killed!
[12:38:47 AM] WmiPrvSE.exe killed!
[12:38:47 AM] WmiPrvSE.exe killed!
[12:38:48 AM] WmiPrvSE.exe killed!
[12:38:48 AM] WmiPrvSE.exe killed!
[12:38:48 AM] WmiPrvSE.exe killed!
[12:38:49 AM] WmiPrvSE.exe killed!
[12:38:49 AM] WmiPrvSE.exe killed!
[12:38:50 AM] WmiPrvSE.exe killed!
[12:38:51 AM] ctfmon.exe killed!
[12:38:56 AM] ctfmon.exe killed!
[12:39:01 AM] ctfmon.exe killed!
[12:39:06 AM] ctfmon.exe killed!
[12:39:11 AM] ctfmon.exe killed!
[12:39:16 AM] ctfmon.exe killed!
[12:39:20 AM] WmiPrvSE.exe killed!
[12:39:20 AM] WmiPrvSE.exe killed!
[12:39:21 AM] WmiPrvSE.exe killed!
[12:39:21 AM] WmiPrvSE.exe killed!
[12:39:21 AM] ctfmon.exe killed!
[12:39:26 AM] ctfmon.exe killed!
[12:39:31 AM] ctfmon.exe killed!
[12:39:36 AM] ctfmon.exe killed!
[12:39:41 AM] ctfmon.exe killed!
[12:39:46 AM] ctfmon.exe killed!
[12:39:51 AM] ctfmon.exe killed!
[12:39:52 AM] WmiPrvSE.exe killed!
[12:39:52 AM] WmiPrvSE.exe killed!
[12:39:53 AM] WmiPrvSE.exe killed!
[12:39:54 AM] WmiPrvSE.exe killed!
[12:39:54 AM] WmiPrvSE.exe killed!
[12:39:55 AM] WmiPrvSE.exe killed!
[12:39:55 AM] WmiPrvSE.exe killed!
[12:39:56 AM] WmiPrvSE.exe killed!
[12:39:56 AM] ctfmon.exe killed!
[12:39:57 AM] WmiPrvSE.exe killed!
[12:39:58 AM] WmiPrvSE.exe killed!
[12:39:58 AM] WmiPrvSE.exe killed!
[12:39:59 AM] WmiPrvSE.exe killed!
[12:39:59 AM] WmiPrvSE.exe killed!
[12:40:00 AM] WmiPrvSE.exe killed!
[12:40:00 AM] sppsvc.exe killed!
[12:40:00 AM] WmiPrvSE.exe killed!
[12:40:01 AM] WmiPrvSE.exe killed!
[12:40:01 AM] ctfmon.exe killed!
[12:40:02 AM] WmiPrvSE.exe killed!
[12:40:03 AM] WmiPrvSE.exe killed!
[12:40:03 AM] WmiPrvSE.exe killed!
[12:40:03 AM] WmiPrvSE.exe killed!
[12:40:04 AM] WmiPrvSE.exe killed!
[12:40:06 AM] ctfmon.exe killed!
[12:40:11 AM] ctfmon.exe killed!
[12:40:16 AM] ctfmon.exe killed!
[12:40:22 AM] ctfmon.exe killed!
[12:40:27 AM] ctfmon.exe killed!
[12:40:32 AM] ctfmon.exe killed!
[12:40:34 AM] WmiPrvSE.exe killed!
[12:40:34 AM] WmiPrvSE.exe killed!
[12:40:35 AM] WmiPrvSE.exe killed!
[12:40:35 AM] WmiPrvSE.exe killed!
[12:40:36 AM] WmiPrvSE.exe killed!
[12:40:36 AM] WmiPrvSE.exe killed!
[12:40:37 AM] WmiPrvSE.exe killed!
[12:40:37 AM] ctfmon.exe killed!
[12:40:37 AM] WmiPrvSE.exe killed!
[12:40:38 AM] WmiPrvSE.exe killed!
[12:40:38 AM] WmiPrvSE.exe killed!
[12:40:38 AM] WmiPrvSE.exe killed!
[12:40:39 AM] WmiPrvSE.exe killed!
[12:40:39 AM] WmiPrvSE.exe killed!
[12:40:39 AM] WmiPrvSE.exe killed!
